,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1746.1023029709686
1,FDW14,OUT017,1382.7983332438534
2,NCN55,OUT010,736.2358851838094
3,FDQ58,OUT017,2517.9358769249784
4,FDY38,OUT027,5793.914549174367
5,FDH56,OUT046,1923.878906742379
6,FDL48,OUT018,734.9249378177435
7,FDC48,OUT027,2149.4035339927573
8,FDN33,OUT045,1509.92142614035
9,FDA36,OUT017,3281.3196299875053
10,FDT44,OUT017,1923.878906742379
11,FDQ56,OUT045,1215.199596520241
12,NCC54,OUT019,733.0691191454216
13,FDU11,OUT049,2039.1783069396351
14,DRL59,OUT013,837.9488620357424
15,FDM24,OUT049,2521.089350982587
16,FDI57,OUT045,3134.438544419258
17,DRC12,OUT018,2943.9753758595807
18,NCM42,OUT027,2735.290096507852
19,FDA46,OUT010,508.1149711810858
20,FDA31,OUT013,2893.3909453316564
21,NCJ31,OUT035,3850.4377644592046
22,FDG52,OUT046,769.4137569835002
23,NCL19,OUT019,350.73157607943676
24,FDS10,OUT035,3107.424650803103
25,FDX22,OUT010,595.0434711185344
26,NCF19,OUT035,769.4137569835002
27,NCE06,OUT046,2543.1370695735313
28,DRC27,OUT046,3866.473112499352
29,FDE21,OUT035,1923.878906742379
30,NCR42,OUT019,63.6421487196335
31,FDX51,OUT018,2943.9753758595807
32,NCR06,OUT018,674.0547136581386
33,FDU31,OUT027,5499.004798244209
34,FDU59,OUT017,2550.5753840245507
35,FDR03,OUT027,5306.21682509594
36,FDS49,OUT027,2149.4035339927573
37,FDD48,OUT010,299.1886800172581
38,NCF18,OUT017,3233.587883429809
39,NCD43,OUT027,2638.911044044467
40,NCD54,OUT018,2012.5174987241733
41,FDY19,OUT010,312.65919899514097
42,NCY54,OUT017,2888.655266214519
43,NCL19,OUT018,2019.9558131751928
44,FDP23,OUT010,638.6068152994465
45,FDC26,OUT013,1736.174261702619
46,FDR14,OUT010,52.82123760077366
47,NCS41,OUT035,3204.0205103835297
48,FDF41,OUT035,3982.745669347465
49,FDU34,OUT046,2067.157361102702
50,DRH11,OUT046,1051.4877221660415
51,FDM03,OUT013,1736.174261702619
52,FDS31,OUT017,3107.424650803103
53,FDJ20,OUT017,1958.66959089691
54,FDV44,OUT027,5090.071043972413
55,FDG02,OUT049,3233.587883429809
56,FDA09,OUT013,2995.254180473466
57,FDT04,OUT013,745.2009364172357
58,FDL58,OUT019,740.0401415164517
59,FDE52,OUT045,1369.2351728572758
60,FDW12,OUT035,2249.904490247277
61,FDL51,OUT017,3439.2018051183195
62,NCY42,OUT027,3351.293240724877
63,FDR07,OUT017,1649.7232505075835
64,FDN40,OUT045,2453.6437348711147
65,FDB35,OUT027,2393.082637243792
66,FDA22,OUT017,2544.95145829158
67,NCL06,OUT046,3982.745669347465
68,FDI35,OUT013,3190.3665744298496
69,NCW42,OUT045,3540.069724731006
70,NCX06,OUT049,3000.2413183910908
71,FDC37,OUT027,2735.290096507852
72,FDZ14,OUT018,1718.812147698444
73,DRG49,OUT049,3866.473112499352
74,NCG06,OUT045,3830.6610363758655
75,DRC36,OUT045,2803.188297684909
76,FDV21,OUT019,317.5895440974573
77,FDB53,OUT046,2505.742608214854
78,DRP47,OUT019,721.5343418009422
79,FDA14,OUT013,2242.44690065429
80,DRC24,OUT035,2505.742608214854
81,FDW21,OUT018,1458.7648731776599
82,NCH29,OUT046,1662.5995415999541
83,FDU58,OUT013,3276.3324920698806
84,FDY27,OUT017,3015.5880611588236
85,FDV56,OUT035,1746.1023029709686
86,FDT59,OUT046,3826.589706917145
87,FDB23,OUT046,3805.0314835957374
88,FDR49,OUT045,775.5697665697091
89,FDB03,OUT010,752.2712332239566
90,FDN39,OUT045,2442.323358276188
91,FDX02,OUT027,5577.225410993766
92,FDQ16,OUT027,2735.290096507852
93,FDU35,OUT018,1459.0991776822389
94,NCT29,OUT013,1948.7415496285607
95,FDZ27,OUT046,769.4137569835002
96,FDN57,OUT017,2107.4506368119482
97,FDA03,OUT018,2012.5174987241733
98,FDZ36,OUT045,3145.164603479656
99,NCU05,OUT013,1257.370428595631
100,FDT39,OUT018,2283.702359459483
101,FDK60,OUT017,1647.2527988322213
102,FDZ25,OUT017,2787.7836877010104
103,FDG12,OUT046,1971.5458819892806
104,DRB01,OUT019,493.9458909317841
105,NCC43,OUT027,5930.5730196239
106,FDX13,OUT019,737.5696898410895
107,FDM22,OUT049,846.8349768455525
108,FDJ03,OUT027,1423.1084768608225
109,FDU14,OUT018,3544.211557416793
110,FDB33,OUT010,400.4200251889765
111,FDP27,OUT046,3233.587883429809
112,FDO38,OUT010,139.27330008413264
113,FDE28,OUT027,5793.914549174367
114,FDO27,OUT035,1574.8965905764599
115,DRL23,OUT027,2750.2469313723786
116,FDS28,OUT046,980.5388768277237
117,FDX24,OUT013,1517.7093441537554
118,FDZ02,OUT035,1569.272664843489
119,FDL46,OUT045,1856.4332906309069
120,FDS60,OUT027,4670.337764578729
121,NCO06,OUT017,745.2128788077205
122,FDO16,OUT035,1280.174760956351
123,FDC60,OUT049,1410.5741078676356
124,FDA48,OUT018,3269.218489391672
125,FDZ36,OUT027,5072.780261736647
126,FDK27,OUT045,1888.7535231100753
127,FDW23,OUT018,689.4014564258714
128,FDM14,OUT018,1532.6931729268713
129,FDM14,OUT013,1736.174261702619
130,FDW60,OUT018,2760.179717217582
131,FDE21,OUT013,1916.421317149392
132,NCM42,OUT035,1758.978594063339
133,FDY59,OUT010,243.76336958158663
134,DRI49,OUT049,1264.8280181886182
135,FDT28,OUT019,383.28513623804315
136,FDQ22,OUT018,668.7296917485301
137,FDR60,OUT049,1264.8280181886182
138,FDC50,OUT019,249.96845619466853
139,FDV24,OUT013,2513.6317613896
140,DRF48,OUT010,512.2151996136517
141,FDQ47,OUT046,762.3740102935021
142,DRN36,OUT049,1647.2527988322213
143,NCY06,OUT035,2104.980185136586
144,FDE52,OUT035,1436.680788968748
145,NCB54,OUT045,1997.241293315867
146,NCF31,OUT035,2505.742608214854
147,FDJ08,OUT027,5090.071043972413
148,NCC07,OUT017,1743.631851295606
149,NCD19,OUT027,1538.672099622543
150,FDL46,OUT049,1923.878906742379
151,FDM20,OUT045,3716.8589312031145
152,NCI06,OUT010,513.4948207991092
153,DRM11,OUT035,4031.3812465709734
154,NCH07,OUT018,2272.381982864557
155,FDS23,OUT013,2217.2201011909206
156,FDO49,OUT018,727.7505879359937
157,FDS35,OUT049,1148.5958565576263
158,DRK39,OUT045,1207.105219111908
159,DRI39,OUT049,1028.7026649472891
160,FDV04,OUT017,2527.7903268057985
161,NCN14,OUT035,3211.458824834549
162,FDH08,OUT013,3837.6379170396676
163,FDS20,OUT046,3206.4909620588915
164,FDV40,OUT049,1232.5255736898039
165,FDZ48,OUT010,270.5064249842908
166,FDS24,OUT027,2324.2433466543707
167,FDK44,OUT049,2891.1257178898813
168,FDS48,OUT045,2438.296992103382
